tag,alpha,algorithm,fedprox_mu,exit_code,metrics_csv,round,accuracy,loss,energy_sum,upload_time_sum,mean_jain
alpha0p5_fedavg,0.5,fedavg,0.0,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedavg_20260305_235258.csv,30,0.5006,1.3885097742080688,3350.9097904591767,377.68579045917727,0.8968235146495989
alpha0p5_fedprox_mu0p01,0.5,fedprox,0.01,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260305_235755.csv,30,0.5039,1.335693097114563,3832.9503914983584,897.9383914983586,0.8932593010853852
alpha0p5_fedprox_mu0p02,0.5,fedprox,0.02,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_000255.csv,30,0.4835,1.382183837890625,3421.1900468407994,396.3420468408,0.8896963423050351
alpha0p5_fedprox_mu0p05,0.5,fedprox,0.05,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_000802.csv,30,0.4762,1.3913046836853027,3672.816751644552,625.0167516445522,0.9003965117008567
alpha0p5_fedprox_mu0p1,0.5,fedprox,0.1,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_001308.csv,30,0.4099,1.6495656967163086,3678.63992766517,599.3999276651692,0.8979967375619521
alpha0p3_fedavg,0.3,fedavg,0.0,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedavg_20260306_001815.csv,30,0.4023,1.6302953839302063,3574.4139377235674,557.0859377235671,0.8992797540623599
alpha0p3_fedprox_mu0p01,0.3,fedprox,0.01,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_002303.csv,30,0.3904,1.914094126224518,3590.7835001037083,434.80350010370853,0.8965537361189507
alpha0p3_fedprox_mu0p02,0.3,fedprox,0.02,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_002810.csv,30,0.4122,1.74207723736763,3817.056323987838,573.7043239878377,0.8973662086705535
alpha0p3_fedprox_mu0p05,0.3,fedprox,0.05,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_003320.csv,30,0.403,2.0490592181682588,3961.73348199656,769.1254819965599,0.896945856076288
alpha0p3_fedprox_mu0p1,0.3,fedprox,0.1,0,/root/autodl-tmp/moga-fl/outputs/hybrid_metrics/hybrid_opt/fedprox_20260306_003841.csv,30,0.3258,1.911970978975296,3606.29765587762,336.8536558776201,0.8905144613840237
